Month,Year,tmp,rainfall
April,1950,21.5,54.2
August,1950,17.9,0
December,1950,23.1,184.6
February,1950,22.7,227
January,1950,22.4,183.3
July,1950,17,0
June,1950,16.6,0
March,1950,22.9,86.1
May,1950,17.5,0.6
November,1950,24.1,82.3
October,1950,23.9,1.7
September,1950,21.9,0
April,1951,21.4,8
August,1951,18.2,0
December,1951,22.4,270.4
February,1951,21.9,70.9
January,1951,21.5,219.6
July,1951,15.6,0
June,1951,16,0
March,1951,22.9,60
May,1951,19.1,0
November,1951,23.5,94.6
October,1951,24.8,47
September,1951,22.1,1.7
April,1952,21.3,4.4
August,1952,19.2,0
December,1952,23.2,148.3
February,1952,22.1,233
January,1952,22.4,391.5
July,1952,16.5,0
June,1952,17,0
March,1952,22.6,30.7
May,1952,18.2,0.1
November,1952,22.8,117.4
October,1952,25,13.1
September,1952,22.6,0
April,1953,21.2,24.5
August,1953,18.5,0
December,1953,22.8,211
February,1953,22.5,209.1
January,1953,22.3,307.8
July,1953,15.2,0
June,1953,15.6,0
March,1953,21.9,173.5
May,1953,18.5,0
November,1953,24.7,114.9
October,1953,25,1.9
September,1953,20.1,2.6
April,1954,21,1.1
August,1954,18.3,0
December,1954,22.4,297.7
February,1954,22.7,203.3
January,1954,22.4,227
July,1954,15.5,0
June,1954,15.6,0
March,1954,22.4,62.8
May,1954,19.3,0
November,1954,23.4,118.2
October,1954,25.8,17
September,1954,22.3,0
April,1955,20.6,42.1
August,1955,18.2,0
December,1955,22.6,198.3
February,1955,22.2,196.8
January,1955,22,213.2
July,1955,16.3,0
June,1955,16.7,0
March,1955,21.9,52.2
May,1955,18.3,2.7
November,1955,24.5,76.2
October,1955,24.9,13.1
September,1955,21.7,0
April,1956,20.4,64.3
August,1956,18.8,0
December,1956,22,196.7
February,1956,22.1,223.4
January,1956,21.7,203.6
July,1956,15.6,0
June,1956,16.4,0
March,1956,22.4,138.2
May,1956,18.4,0.2
November,1956,22.9,154.1
October,1956,24.9,4.8
September,1956,21.3,1.3
April,1957,21.4,8.3
August,1957,18.9,0
December,1957,22.8,315.6
February,1957,22.3,164.8
January,1957,22.2,154.1
July,1957,17.2,0
June,1957,16.5,0
March,1957,22.2,79.3
May,1957,18.2,4.1
November,1957,25.4,23.9
October,1957,25.1,19
September,1957,23.2,2.2
April,1958,21.8,21.6
August,1958,17.3,0
December,1958,23.1,254.2
February,1958,22.3,381
January,1958,22.7,317.2
July,1958,15.3,0
June,1958,16.5,0
March,1958,22.4,36.3
May,1958,18.9,0
November,1958,24.6,84.6
October,1958,24.4,24.9
September,1958,22.8,2
April,1959,21.5,6.2
August,1959,18.2,0
December,1959,23,317.7
February,1959,22.2,286.5
January,1959,22.7,152.6
July,1959,17.1,0
June,1959,17.3,0
March,1959,22.5,52.5
May,1959,19.7,4.1
November,1959,23.9,76.4
October,1959,24.9,2.4
September,1959,21.5,0.1
April,1960,20.8,25.4
August,1960,19.3,0
December,1960,23.7,115.7
February,1960,22.2,180.6
January,1960,22.7,183.1
July,1960,15.2,0
June,1960,17.3,0
March,1960,22,61.7
May,1960,18.3,6.5
November,1960,23.7,129.4
October,1960,25.4,1.7
September,1960,22.1,0
April,1961,21.4,23.1
August,1961,17.1,0
December,1961,22.3,193.3
February,1961,21.7,188.7
January,1961,21.8,332.8
July,1961,16.3,0
June,1961,17.1,0
March,1961,22.2,148.3
May,1961,19.9,0.3
November,1961,23,118.8
October,1961,25.4,3
September,1961,22.3,0
April,1962,20.8,56.3
August,1962,18.5,0
December,1962,21.5,398.7
February,1962,22.2,203.9
January,1962,21.8,289.1
July,1962,16.2,0
June,1962,16.9,0
March,1962,22,119.7
May,1962,16.6,0.9
November,1962,23.6,138.1
October,1962,25.4,0.6
September,1962,22,0
April,1963,20,8.1
August,1963,17.8,0
December,1963,22.2,182.1
February,1963,21.3,240.1
January,1963,21.8,168.7
July,1963,16,0
June,1963,15.4,0
March,1963,21.3,63.3
May,1963,16.8,0
November,1963,23.2,100.3
October,1963,24.7,26.5
September,1963,22,0.9
April,1964,21.1,0
August,1964,18,0
December,1964,21.6,233.4
February,1964,22.7,185.8
January,1964,22.3,194.5
July,1964,14.6,0
June,1964,16,0
March,1964,23.6,46.3
May,1964,17.8,0
November,1964,23.5,90.4
October,1964,25,5.8
September,1964,21.4,0
April,1965,20.4,2.1
August,1965,18.3,0
December,1965,23.3,91.2
February,1965,22.3,115.7
January,1965,21.4,227.4
July,1965,15.6,0
June,1965,16,0
March,1965,22.1,36.1
May,1965,17.3,0.7
November,1965,23.9,79.6
October,1965,23.4,11.2
September,1965,21.3,2.5
April,1966,20.3,20.8
August,1966,18.6,0
December,1966,23.2,209.5
February,1966,22.2,293.2
January,1966,22.9,222.6
July,1966,16.3,0
June,1966,16.9,0
March,1966,21.7,44.1
May,1966,18.4,6.6
November,1966,24.7,26.3
October,1966,24.7,0.6
September,1966,22.1,2.1
April,1967,21.3,25.2
August,1967,17.7,0
December,1967,22.6,189
February,1967,22.2,156.8
January,1967,22.2,267.4
July,1967,15,0
June,1967,17.5,0
March,1967,22.1,67
May,1967,18.4,5
November,1967,23.5,61.8
October,1967,25,45.8
September,1967,21.5,0.5
April,1968,20.7,24.7
August,1968,19.3,0
December,1968,22.4,285.6
February,1968,22.1,129
January,1968,22.9,155.4
July,1968,16.7,0
June,1968,15.2,0
March,1968,22.1,35
May,1968,18.9,8
November,1968,22.9,115.9
October,1968,25.9,0
September,1968,21.9,0.3
April,1969,21.3,24.6
August,1969,18.9,0
December,1969,21.7,394.3
February,1969,22.9,127
January,1969,22.4,260
July,1969,16.4,0
June,1969,16.9,0
March,1969,22.5,188.7
May,1969,18.3,3.8
